Unnamed: 0,ticker,security,industry,subindustry,headquarters,added,founded,marketCap
0.0,MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,1902,91939332096.0
1.0,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1888,175028000000.0
2.0,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,2013 (1888),171142000000.0
3.0,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,1981,13195218944.0
4.0,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1989,141079000000.0
5.0,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,2008,61631094784.0
6.0,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,1982,206405000000.0
7.0,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,1969,81280589824.0
8.0,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1932,10176534528.0
9.0,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,1981,10239567872.0
10.0,AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,1955,26382768128.0
11.0,A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1999,29275146240.0
12.0,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,64383647744.0
13.0,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1998,18132496384.0
14.0,ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",2016-05-13,1985,4297830400.0
15.0,ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,1994,9254005760.0
16.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1994,21256683520.0
17.0,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",2012-05-25,1992,22411732992.0
18.0,ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,1997,23482402816.0
19.0,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1908,9316084736.0
20.0,LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,1917,13253652480.0
21.0,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,1931,29639985152.0
22.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1998,1029180000000.0
23.0,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1998,1032400000000.0
24.0,MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,1985,77772783616.0
25.0,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1994,1500770000000.0
26.0,AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07,2019 (1860),16799273984.0
27.0,AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1902,19632773120.0
28.0,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,1934,5787373056.0
29.0,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,1906,43636084736.0
30.0,AXP,American Express Co,Financials,Consumer Finance,"New York, New York",1976-06-30,1850,76737986560.0
31.0,AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,1919,26967021568.0
32.0,AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1995,113633000000.0
33.0,AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1886,26161446912.0
34.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,1894,18994042880.0
35.0,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,1985,21105096704.0
36.0,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1930,21314232320.0
37.0,AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,1980,145873000000.0
38.0,APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,1932,30888376320.0
39.0,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12,1965,41400328192.0
40.0,ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1969,25123106816.0
41.0,ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,2014 (1940s),68194852864.0
42.0,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,1982 (1919),47966482432.0
43.0,AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,1916,8268093440.0
44.0,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,1954,5359449088.0
45.0,AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",2003-03-14,1994 (1975),5307001856.0
46.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,1977,1605700000000.0
47.0,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,1967,55556956160.0
48.0,APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24,1994,22209636352.0
49.0,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,1902,23380826112.0
50.0,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,2004,17927581696.0
51.0,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31,1927,19707310080.0
52.0,AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",2007-04-10,1892,6370269184.0
53.0,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),1983 (1885),210686000000.0
54.0,ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,1906,12598135808.0
55.0,ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",1989-12-01,1982,51046596608.0
56.0,ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",1981-03-31,1949,62502031360.0
57.0,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02,1979,27297560576.0
58.0,AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,1978,20666349568.0
59.0,AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",1987-12-31,1990,10034969600.0
60.0,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,2017,16901371904.0
61.0,BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,,23850305536.0
62.0,BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,1998 (1923 / 1874),210970000000.0
63.0,BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York, New York",1995-03-31,1784,32094781440.0
64.0,BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,1931,45418700800.0
65.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,1897,80174112768.0
66.0,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,,
67.0,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,,25053388800.0
68.0,BIO,Bio-Rad Laboratories,Health Care,Biotechnology,"Hercules, California",2020-06-22,1952,
69.0,BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,1978,43113373696.0
70.0,BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04,,86996721664.0
71.0,BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",1957-03-04,1916,98057109504.0
72.0,BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06,,69635743744.0
73.0,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,,7952411648.0
74.0,BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,,14087306240.0
75.0,BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1995-02-24,,55148974080.0
76.0,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",1957-03-04,1989,130897000000.0
77.0,AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",2014-05-08,1961,122984000000.0
78.0,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1962,15073175552.0
79.0,BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,1870,
80.0,CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1905,11585883136.0
81.0,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,,7588887552.0
82.0,CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,,28601473024.0
83.0,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,1869,14926902272.0
84.0,COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,1935,29686876160.0
85.0,CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,,16497208320.0
86.0,KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28,,15893581824.0
87.0,CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,,11591891968.0
88.0,CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,2020 (1915),23022505984.0
89.0,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",1957-03-04,1925,74463657984.0
90.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,,9822134272.0
91.0,CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",2006-11-10,,14465808384.0
92.0,CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,1984,16303949824.0
93.0,CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,1918,10927906816.0
94.0,CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",2016-03-30,,39096999936.0
95.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,,9922449408.0
96.0,CTL,CenturyLink Inc,Communication Services,Alternative Carriers,"Monroe, Louisiana",1999-03-25,1983 (1877),11073775616.0
97.0,CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30,,21849214976.0
98.0,CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,,6537911808.0
99.0,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",1997-06-02,,44982104064.0
100.0,CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,,115972000000.0
101.0,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,1879,168271000000.0
102.0,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,,31606591488.0
103.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,,60892573696.0
104.0,CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,,21114832896.0
105.0,CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,1982,66792939520.0
106.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,,13383550976.0
107.0,CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,1929,31485530112.0
108.0,CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,,195915000000.0
109.0,C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",1988-05-31,,107572000000.0
110.0,CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,,10918182912.0
111.0,CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",1999-12-01,,17590534144.0
112.0,CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",1969-03-31,1913,28592054272.0
113.0,CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,,60511723520.0
114.0,CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,,18183618560.0
115.0,KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,1886,208286000000.0
116.0,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,,33407842304.0
117.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",1957-03-04,1806,63657160704.0
118.0,CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2015-09-18,,197856000000.0
119.0,CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,,5202876416.0
120.0,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,1919,17831852032.0
121.0,CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2016-02-22,,10515688448.0
122.0,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,2002,43197480960.0
123.0,ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1823,25251430400.0
124.0,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01,,34751160320.0
125.0,COO,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,,15124199424.0
126.0,CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,1982,21017325568.0
127.0,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",,1851,22288166912.0
128.0,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019-06-03,2019,21343512576.0
129.0,COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,,143840000000.0
130.0,COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",2016-10-03,,3060011008.0
131.0,CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,,69472395264.0
132.0,CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,1980,54608338944.0
133.0,CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,1919,27770294272.0
134.0,CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,1996,82791079936.0
135.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",2005-06-22,1978,23175546880.0
136.0,DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",,1969,138060000000.0
137.0,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,1938,10209281024.0
138.0,DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,,10636793856.0
139.0,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,1837,54859829248.0
140.0,DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,1929,16558768128.0
141.0,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,,9473019904.0
142.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,,4094889984.0
143.0,DXCM,DexCom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1999,39770140672.0
144.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,2007,6427845632.0
145.0,DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",2016-05-18,2004,39439327232.0
146.0,DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1985,15566216192.0
147.0,DISCA,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,"Silver Spring, Maryland",2010-03-01,,10069980160.0
148.0,DISCK,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,"Silver Spring, Maryland",2014-08-07,,10074735616.0
149.0,DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13,,17486010368.0
150.0,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,1939,48255107072.0
151.0,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,,22679377920.0
152.0,D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,1983,67484176384.0
153.0,DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1960,15223825408.0
154.0,DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,1955,15190275072.0
155.0,DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,2019,31562549248.0
156.0,DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,1995,22067556352.0
157.0,DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1904,60838481920.0
158.0,DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26,,13725913088.0
159.0,DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",2019-04-02,2017,40028626944.0
160.0,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,2017,4357351936.0
161.0,ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",2004-03-31,,11445777408.0
162.0,EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,,10414915584.0
163.0,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1911,37444001792.0
164.0,EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1995,38731665408.0
165.0,ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1989-01-31,,59708719104.0
166.0,EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,1886,21172254720.0
167.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,,49690677248.0
168.0,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,,39045681152.0
169.0,EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,1890,37856018432.0
170.0,ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,1913,20548632576.0
171.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,,28543537152.0
172.0,EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,1899,20309940224.0
173.0,EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20,,65269706752.0
174.0,EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,,20221327360.0
175.0,ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",2014-04-02,,14007173120.0
176.0,EL,Estée Lauder Companies,Consumer Staples,Personal Products,"New York, New York",2006-01-05,,69029806080.0
177.0,EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1909,14524963840.0
178.0,ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,1966,30650927104.0
179.0,RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,,8957488128.0
180.0,EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",1957-03-04,2000,36832620544.0
181.0,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2007-10-02,1996,11803098112.0
182.0,EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,1979,13345700864.0
183.0,EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016-01-19,1977,12314900480.0
184.0,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,1999,183728000000.0
185.0,FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1996,9276973056.0
186.0,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,2004,658220000000.0
